reviewId,reviewScore
102780644,3
102781074,1
102780041,2
102779519,5
102779962,2
102781269,1
102780483,2
102780416,4
102780917,1
102779501,2
102782650,2
102779951,3
102779541,3
102780414,2
102780483,2
102782018,3
102780632,3
102782149,2
102779761,3
102780403,4
102780491,2
102779968,3
102780821,2
102780165,1
102779968,3
102781374,3
102781005,3
102779604,2
102780748,2
102779486,3
102781828,3
102785260,1
102779550,4
102779596,2
102779616,2
102781215,3
102779555,2
102784444,2
102782779,2
102780006,4
102781269,1
102782396,2
102779543,4
102779557,3
102780299,3
102781359,2
102780910,3
102779524,4
102780769,2
102780948,4
102779585,2
102779496,5
102780513,3
102779616,2
102779634,4
102779686,4
102783393,2
102782734,4
102781291,4
102779482,4
102779596,2
102779654,4
102780692,4
102780494,3
102779521,4
102780414,2
102784175,2
102779701,2
102780668,3
102789858,3
102780725,3
102781291,4
102780388,3
102780837,2
102779541,3
102780821,2
102782142,5
102782426,3
102779560,5
102782149,2
102780989,3
102781867,4
102780916,3
102779523,4
102780627,2
102779875,2
102782734,4
102780270,3
102781954,2
102779544,2
102780989,3
102779555,2
102780869,3
102783393,2
102779496,5
102780299,3
102780607,2
102780627,2
102781359,2
102779507,2
102781076,2
102780869,3
102779951,3
102779875,2
102779604,2
102781420,1
102779738,3
102780388,3
102780259,2
102779553,4
102780513,3
102780416,4
102779686,4
102779630,3
102779585,2
102779975,2
102781057,4
102780543,2
102780632,3
102780165,1
102779524,4
102779962,2
102780049,2
102779563,5
102781469,5
102781215,3
102781569,4
102785260,1
102780916,3
102780374,4
102780028,2
102784591,2
102781334,4
102780910,3
102780374,4
102783989,3
102779501,2
102780769,2
102779507,2
102782018,3
102781241,3
102780792,4
102781374,3
102779563,5
102781241,3
102779528,3
102779545,4
102779889,4
102780758,2
102779490,4
102779521,4
102781867,4
102783315,2
102780543,2
102780006,4
102779550,4
102780001,3
102780524,2
102782426,3
102780845,4
102782182,3
102780748,2
102789361,3
102779523,4
102779531,2
102789361,3
102779519,5
102779889,4
102780948,4
102781569,4
102780218,1
102781777,5
102780845,4
102779975,2
102781057,4
102780792,4
102781074,1
102782395,2
102779984,3
102780888,3
102782395,2
102784175,2
102784444,2
102779560,5
102784591,2
102782769,2
102783989,3
102779654,4
102782769,2
102779743,2
102780692,4
102780625,4
102779557,3
102781469,5
102780668,3
102779861,2
102780259,2
102780644,3
102780270,3
102779761,3
102779701,2
102780704,3
102779543,4
102780491,2
102780888,3
102780625,4
102780049,2
102780218,1
102780376,2
102781954,2
102780837,2
102779634,4
102781420,1
102779490,4
102779597,4
102779486,3
102780376,2
102780494,3
102782142,5
102781334,4
102779531,2
102781076,2
102780725,3
102780041,2
102789858,3
102781828,3
102779861,2
102779597,4
102783315,2
102780403,4
102781297,2
102780607,2
102779482,4
102779630,3
102779553,4
102780956,3
102780001,3
102782182,3
102779738,3
102779984,3
102780917,1
102780758,2
102782779,2
102782396,2
102780028,2
102781777,5
102781297,2
102780956,3
102779743,2
102780524,2
102781005,3
102782650,2
102780704,3
102779528,3
102779544,2
102779545,4
