row_id,title,url,id,text
0,The Da Vinci Code (film),https://en.wikipedia.org/wiki/The_Da_Vinci_Code_(film),c3e9f3f20ef1cd06825c7be71cc7b92b,"The Da Vinci Code is a 2006 American mystery thriller film, directed by Ron Howard and written by Akiva Goldsman, based on Dan Brown's 2003 best-selling novel of the same name. The first in the ""Robert Langdon"" film series, the film stars Tom Hanks, Audrey Tautou, Sir Ian McKellen, Alfred Molina, Jürgen Prochnow, Jean Reno and Paul Bettany. In the movie, Robert Langdon, a professor of religious symbology from Harvard University, is the prime suspect in the grisly and unusual murder of Louvre curator Jacques Saunière. In the body, the police find a disconcerting cipher and start an investigation. A noted British Grail historian named Sir Leigh Teabing tells them that the actual Holy Grail is explicitly encoded in Leonardo da Vinci's wall painting, ""The Last Supper"". Also searching for the Grail is a secret cabal within Opus Dei, an actual prelature of the Holy See, who wish to keep the true Grail a secret to prevent the destruction of Christianity."
1,The Temp (film),https://en.wikipedia.org/wiki/The_Temp_(film),b83797524ac733797b1e66bc74cffb3e,"The Temp is a 1993 American neo-noir psychological thriller film directed by Tom Holland and starring Timothy Hutton, Lara Flynn Boyle, and Faye Dunaway. Its plot follows a troubled businessman whose life is upturned after the arrival of a mysterious female temp worker in his office. Oliver Platt, Dwight Schultz, Steven Weber, and Maura Tierney appear in supporting roles."
2,The Lady Vanishes (2013 film),https://en.wikipedia.org/wiki/The_Lady_Vanishes_(2013_film),f36dfe29a373d08d25bfeffbb54a4aad,"The Lady Vanishes is a 2013 British television mystery thriller film directed by Diarmuid Lawrence, and a co-production of the BBC and Masterpiece Films. It is based on the novel The Wheel Spins by Ethel Lina White (1876–1944). It stars Selina Cadell in the key role of the disappearing Miss Froy, Tuppence Middleton as the young Iris Carr (who discovers the disappearance, but is not taken seriously), and Tom Hughes and Alex Jennings as Max Hare and the Professor, the two fellow English passengers who come to her aid. It was watched by 7.44 million when it was broadcast on 17 March 2013 on BBC One."
3,Luna (1965 film),https://en.wikipedia.org/wiki/Luna_(1965_film),81ba76e2e4517f6c4e31784571d58b42,"Luna (, ""Moon"") is a Soviet popular science and science fiction film directed by Pavel Klushantsev."
4,Open Fire (1994 film),https://en.wikipedia.org/wiki/Open_Fire_(1994_film),6d987053e42e96250f4523dc7846058a,"Open Fire is single British television crime drama film, made for ITV, which first broadcast on 12 November 1994. The film was written and directed by Paul Greengrass, and concerns the police manhunt for David Martin, who escaped from custody following his arrest for shooting a police officer, leading up to the shooting in error of another man, Stephen Waldorf. The film starred Rupert Graves as Martin, as well as Samuel West as Waldorf, Douglas Hodge as investigating officer DC Peter Finch, and Kate Hardie as Sue Stephens. ""Open Fire"" was filmed in Belsize Park and in around Hampstead, London. The film has never been released commercially."
5,Inside (2016 film),https://en.wikipedia.org/wiki/Inside_(2016_film),843e928ef053514974a9baa8fc07f22b,"Inside is a 2016 Spanish English-language independent horror film directed by Miguel Ángel Vivas, written by Jaume Balagueró, and starring Rachel Nichols, Laura Harring, and Stany Coppet. Its plot follows a pregnant woman pursued by a psychotic woman trying to steal her unborn child on Christmas Eve."
6,Octane (film),https://en.wikipedia.org/wiki/Octane_(film),1c349230a8e8100cc448d7989856ebbc,"Octane (released as Pulse in the United States) is a 2003 horror film directed by Marcus Adams and starring Madeleine Stowe, Mischa Barton, and Norman Reedus. The film follows a divorced mother and her teenage daughter on a late-night road trip, and the mother's battle to find her daughter after she gets caught up with a bizarre cult of young criminals at a truck stop. "
7,Knife Fight (film),https://en.wikipedia.org/wiki/Knife_Fight_(film),9e52b752349f3632cd2aaee537b1f83d,"Knife Fight is a 2012 American political thriller film starring Rob Lowe, Carrie-Anne Moss, Jamie Chung, Richard Schiff, Amanda Crew, Julie Bowen and Ryan Alosio. It is directed by Bill Guttentag and co-written by Bill Guttentag and former Al Gore spokesman Chris Lehane. The film was shot in San Francisco, California. The film premiered at the 2012 Tribeca Film Festival and was released theatrically in the United States on January 25, 2013 and was released on demand and digitally on January 28, 2013. Davey Havok of the band AFI makes an appearance."
8,The Adventures of Werner Holt (film),https://en.wikipedia.org/wiki/The_Adventures_of_Werner_Holt_(film),e20d5e36a47c4f5cffae19733071b3ac,"Werner Holt, a young Wehrmacht soldier stationed on the eastern border of Germany in the last days of World War II, is awaiting the attack of the Red Army with his friend and commander Gilbert Wolzow. Holt recalls the last two years of his life: his meeting with Wolzow, their conscription, his experience as an assistant in an anti-aircraft battery. He remembers how he began to lose faith in the war's aims, after witnessing the brutal crushing of the Slovak National Uprising and having a sexual encounter with an SS officer's wife, which left him disgusted. After that, he realized that his father's claims about millions of people being murdered in the concentration camps were true. "
9,Timeslip (1955 film),https://en.wikipedia.org/wiki/Timeslip_(1955_film),5ec38890cee704fe6d934ad0c8101ed5,"Timeslip (known as The Atomic Man in the United States) is a 1955 British black-and-white science fiction film directed by Ken Hughes and starring Gene Nelson and Faith Domergue. Produced by Alec C. Snowden, it is based on the science fiction novel ""The Isotope Man"" by Charles Eric Maine, who also wrote the screenplay. In the UK, the film was distributed by Anglo-Amalgamated. In 1956 the film was shortened from 93 minutes to 76 minutes and distributed in the U.S. by Allied Artists Pictures as a double feature with ""Invasion of the Body Snatchers""."
10,Great White (film),https://en.wikipedia.org/wiki/Great_White_(film),02a91e1e6a8c5049fb1fbd0144defd32,"Great White (a.k.a. The Last Shark; ) is a 1981 Italian horror film directed by Enzo G. Castellari, starring James Franciscus and Vic Morrow."
11,Ready Player One (film),https://en.wikipedia.org/wiki/Ready_Player_One_(film),57aa2fc33c1be6bbe25e6d38ba327280,"Ready Player One is a 2018 American science fiction adventure film directed by Steven Spielberg, from a screenplay by Zak Penn and Ernest Cline based on Cline's 2011 novel of the same name. The film stars Tye Sheridan, Olivia Cooke, Ben Mendelsohn, T.J. Miller, Simon Pegg, and Mark Rylance. The film takes place in 2045, when much of humanity uses the virtual reality software OASIS (Ontologically Anthropocentric Sensory Immersive Simulation) to escape the desolation of the real world. Orphaned teenager Wade Watts (Sheridan) discovers clues to a hidden game within the program that promises the winner full ownership of the OASIS, and joins several allies to try to complete the game before a large company run by businessman Nolan Sorrento (Mendelsohn) can do so."
