reviewId,reviewScore
102780513,2.5
102780692,3.5
102789858,3.5
102779634,4.0
102781334,3.0
102779486,3.0
102779496,4.0
102779501,2.0
102780414,2.5
102779523,4.0
102780001,3.0
102779550,4.0
102780416,3.5
102780028,2.0
102779550,4.0
102779585,2.5
102779521,3.0
102783393,1.5
102779555,2.0
102780006,4.0
102779597,4.0
102780821,3.0
102780888,3.0
102779555,2.0
102781777,4.0
102780543,2.0
102780627,2.5
102780483,3.0
102779630,3.0
102779861,2.0
102779541,3.0
102780218,2.5
102781269,1.0
102781076,2.5
102780299,2.0
102779889,4.0
102780632,3.0
102780376,1.5
102781215,2.0
102780888,3.0
102780270,3.0
102781297,2.5
102780910,2.5
102780956,2.0
102780668,3.0
102780845,3.5
102779501,2.0
102780494,2.0
102780491,2.0
102779545,3.0
102780403,3.5
102780769,2.0
102780414,2.5
102780524,1.0
102782426,3.0
102785260,1.5
102780692,3.5
102779531,2.0
102779507,3.0
102780725,3.0
102780917,2.0
102782395,2.5
102780403,3.5
102780916,3.0
102779616,2.0
102779560,3.0
102780388,4.0
102779654,4.0
102781954,2.5
102779557,3.0
102780049,2.0
102780644,3.0
102779524,3.5
102780041,3.0
102780001,3.0
102783989,3.0
102780821,3.0
102779975,2.0
102780725,3.0
102779761,2.5
102779544,2.0
102780869,3.0
102782142,4.0
102781291,4.0
102779975,2.0
102782018,2.5
102780006,4.0
102780837,3.0
102781374,3.25
102780769,2.0
102779541,3.0
102780748,2.0
102779585,2.5
102779486,3.0
102780041,3.0
102782650,2.0
102782769,2.5
102789361,3.0
102779968,2.0
102781297,2.5
102780491,2.0
102779701,2.0
102781359,2.0
102780792,4.0
102782396,2.0
102779962,3.0
102780948,3.0
102784591,2.0
102781074,0.0
102783315,3.0
102780989,3.0
102782650,2.0
102780916,3.0
102782769,2.5
102782734,3.0
102779701,2.0
102781469,3.5
102780513,2.5
102784591,2.0
102784175,3.0
102779743,2.5
102779630,3.0
102780989,3.0
102779543,4.0
102779634,4.0
102780494,2.0
102781569,3.5
102782182,2.4
102779984,2.0
102780259,2.0
102781374,3.25
102780704,3.0
102783393,1.5
102780845,3.5
102779563,3.5
102779553,5.0
102779984,2.0
102779596,3.0
102780627,2.5
102779861,2.0
102779553,5.0
102780917,2.0
102779490,3.0
102780270,3.0
102780758,2.5
102780483,3.0
102780704,3.0
102782779,3.0
102784444,2.0
102780049,2.0
102781057,3.0
102779521,3.0
102779686,3.0
102779604,2.5
102780374,3.0
102779560,3.0
102779528,3.0
102779519,3.0
102779743,2.5
102781241,1.5
102789858,3.5
102780028,2.0
102779596,3.0
102780607,2.5
102779738,2.5
102782149,2.0
102782779,3.0
102779482,4.0
102780165,1.5
102780668,3.0
102784175,3.0
102780910,2.5
102781005,3.5
102779889,4.0
102781359,2.0
102780948,3.0
102779563,3.5
102779557,3.0
102780299,2.0
102780837,3.0
102780625,3.0
102781074,0.0
102780543,2.0
102779543,4.0
102779951,3.0
102782734,3.0
102781291,4.0
102781828,3.0
102779951,3.0
102779761,2.5
102781469,3.5
102779531,2.0
102779523,4.0
102780869,3.0
102784444,2.0
102781867,3.0
102780792,4.0
102782018,2.5
102781076,2.5
102779528,3.0
102781420,1.0
102782149,2.0
102779482,4.0
102780607,2.5
102780758,2.5
102781334,3.0
102782182,2.4
102779686,3.0
102781420,1.0
102779616,2.0
102781057,3.0
102781269,1.0
102781569,3.5
102779597,4.0
102780748,2.0
102781777,4.0
102780165,1.5
102783315,3.0
102779490,3.0
102781828,3.0
102782142,4.0
102780644,3.0
102782395,2.5
102780416,3.5
102779507,3.0
102780374,3.0
102779524,3.5
102779875,2.5
102789361,3.0
102779545,3.0
102779738,2.5
102780218,2.5
102779654,4.0
102780388,4.0
102783989,3.0
102780956,2.0
102779604,2.5
102780524,1.0
102782396,2.0
102780632,3.0
102779962,3.0
102780376,1.5
102781241,1.5
102780259,2.0
102781215,2.0
102779875,2.5
102779544,2.0
102782426,3.0
102781005,3.5
102781954,2.5
102780625,3.0
102779496,4.0
102781867,3.0
102785260,1.5
102779968,2.0
102779519,3.0
